time,step,rf_power,esc_inner_temp,esc_outer_temp,wall_temp,rf_ref_power
10:24:12,1,1,320.1,282.69,66.7,2
10:24:14,1,2,320.1,282.69,66.7,2
10:24:16,1,3,320.1,282.69,10,2
10:24:18,1,3,320.1,282.69,66.7,2
10:24:20,1,22,320.1,282.69,15,2
10:24:22,1,22,320.1,282.69,66.7,2
10:24:24,1,11,320.1,282.69,66.7,2
10:24:26,1,22,320.1,282.69,66.7,2
10:24:28,1,23,320.1,282.69,66.7,2
10:24:30,2,12,345.73,110,22,2
10:24:32,2,44,345.73,110,66.7,2
10:24:34,2,12,345.73,110,66.7,2
10:24:36,2,12,345.73,110,10,2
10:24:38,2,44,345.73,110,66.7,2
10:24:40,2,12,345.73,110,15,2
10:24:42,2,44,345.73,110,66.7,2
10:24:44,2,12,345.73,110,66.7,2
10:24:46,2,12,345.73,110,66.7,2
10:24:48,2,44,345.73,110,66.7,2
10:24:50,3,12,345.73,110,22,2
10:24:52,3,44,345.73,110,66.7,2
10:24:54,3,12,345.73,110,66.7,2
10:24:56,3,12,345.73,110,10,2
10:24:58,3,44,345.73,110,66.7,2
10:25:00,3,12,345.73,110,15,2
10:25:02,3,44,345.73,110,66.7,2
10:25:04,3,12,345.73,110,66.7,2
10:25:06,3,12,345.73,110,66.7,2
10:25:08,3,44,345.73,110,66.7,2
10:25:10,4,1,320.1,282.69,78.56,2
10:25:12,4,2,320.1,282.69,33,2
10:25:14,4,3,320.1,282.69,23,2
10:25:16,4,3,320.1,282.69,78.56,2
10:25:18,4,22,320.1,282.69,78.56,2
10:25:20,4,22,320.1,282.69,12,2
10:25:22,4,11,320.1,282.69,78.56,2
10:25:24,4,22,320.1,282.69,10,2
10:25:26,4,23,320.1,282.69,78.56,2
10:25:28,5,1,320.1,282.69,78.56,2
10:25:30,5,2,320.1,282.69,33,2
10:25:32,5,3,320.1,282.69,23,2
10:25:34,5,3,320.1,282.69,78.56,2
10:25:36,5,22,320.1,282.69,78.56,2
10:25:38,5,22,320.1,282.69,12,2
10:25:40,5,11,320.1,282.69,78.56,2
10:25:42,5,22,320.1,282.69,10,2
10:25:44,5,23,320.1,282.69,78.56,2
10:25:46,6,1,320.1,282.69,78.56,2
10:25:48,6,2,320.1,282.69,33,2
10:25:50,6,3,320.1,282.69,23,2
10:25:52,6,3,320.1,282.69,78.56,2
10:25:54,6,22,320.1,282.69,78.56,2
10:25:56,6,22,320.1,282.69,12,2
10:25:58,6,11,320.1,282.69,78.56,2
10:26:00,6,22,320.1,282.69,10,2
10:26:02,6,23,320.1,282.69,78.56,2
10:26:04,7,1,320.1,282.69,78.56,2
10:26:06,7,2,320.1,282.69,33,2
10:26:08,7,3,320.1,282.69,23,2
10:26:10,7,3,320.1,282.69,78.56,2
10:26:12,7,22,320.1,282.69,78.56,2
10:26:14,7,22,320.1,282.69,12,2
10:26:16,7,11,320.1,282.69,78.56,2
10:26:18,7,22,320.1,282.69,10,2
10:26:20,7,23,320.1,282.69,78.56,2
10:26:22,8,1,320.1,282.69,78.56,2
10:26:24,8,2,320.1,282.69,33,2
10:26:26,8,3,320.1,282.69,23,2
10:26:28,8,3,320.1,282.69,78.56,2
10:26:30,8,22,320.1,282.69,78.56,2
10:26:32,8,22,320.1,282.69,12,2
10:26:34,8,11,320.1,282.69,78.56,2
10:26:36,8,22,320.1,282.69,10,2
10:26:38,8,23,320.1,282.69,78.56,2
10:26:40,9,1,320.1,282.69,78.56,2
10:26:42,9,2,320.1,282.69,33,2
10:26:44,9,3,320.1,282.69,23,2
10:26:46,9,3,320.1,282.69,78.56,2
10:26:48,9,22,320.1,282.69,78.56,2
10:26:50,9,22,320.1,282.69,12,2
10:26:52,9,11,320.1,282.69,78.56,2
10:26:54,9,22,320.1,282.69,10,2
10:26:56,9,23,320.1,282.69,78.56,2
10:26:58,10,1,320.1,282.69,78.56,2
10:27:00,10,2,320.1,282.69,33,2
10:27:02,10,3,320.1,282.69,23,2
10:27:04,10,3,320.1,282.69,78.56,2
10:27:06,10,22,320.1,282.69,78.56,2
10:27:08,10,22,320.1,282.69,12,2
10:27:10,10,11,320.1,282.69,78.56,2
10:27:12,10,22,320.1,282.69,10,2
10:27:14,10,23,320.1,282.69,78.56,2
10:27:16,11,1,320.1,282.69,78.56,2
10:27:18,11,2,320.1,282.69,33,2
10:27:20,11,3,320.1,282.69,23,2
10:27:22,11,3,320.1,282.69,78.56,2
10:27:24,11,22,320.1,282.69,78.56,2
10:27:26,11,22,320.1,282.69,12,2
10:27:28,11,11,320.1,282.69,78.56,2
10:27:30,11,22,320.1,282.69,10,2
10:27:32,11,23,320.1,282.69,78.56,2
10:27:34,12,1,320.1,282.69,78.56,2
10:27:36,12,2,320.1,282.69,33,2
10:27:38,12,3,320.1,282.69,23,2
10:27:40,12,3,320.1,282.69,78.56,2
10:27:42,12,22,320.1,282.69,78.56,2
10:27:44,12,22,320.1,282.69,12,2
10:27:46,12,11,320.1,282.69,78.56,2
10:27:48,12,22,320.1,282.69,10,2
10:27:50,12,23,320.1,282.69,78.56,2
10:27:52,12,1,320.1,282.69,78.56,2
10:27:54,12,2,320.1,282.69,33,2
10:27:56,12,3,320.1,282.69,23,2
10:27:58,12,3,320.1,282.69,78.56,2
10:28:00,12,22,320.1,282.69,78.56,2
10:28:02,12,22,320.1,282.69,12,2
10:28:04,12,11,320.1,282.69,78.56,2
10:28:06,12,22,320.1,282.69,10,2
10:28:08,12,23,320.1,282.69,78.56,2
